route,screen,before_visual_state,issues_found,changes_applied,list_controls,form_standard,mobile_390,tablet_768,browser_status,evidence,notes
/admin/soforler,Drivers,"Roster lacked a consistent catalog-style control treatment","Missing usable displayOrder reorder, incomplete edit/delete/toggle actions, and inconsistent touch-target sizing","Restored full CRUD and displayOrder reorder; added reference-guarded delete, active toggle, and consistent 44px controls","Reorder, edit, reference-guarded delete, active toggle","Consistent fields and actions with 44px minimum controls","PASS — 44px controls; no horizontal overflow","PASS — 44px controls; no horizontal overflow",PASS,"Screenshots m0q1fm, 4osgq5, i24ucv, h7udek; full CRUD/reorder restoration verified","Drivers visual and interaction baseline passed."
/admin/rakipler,Competitors,"List actions and spacing did not follow the shared admin treatment","Inconsistent row actions and control spacing","Standardized list action layout, spacing, and touch targets","Create/edit, delete, active/status controls","Shared admin form spacing and 44px controls","PASS — no horizontal overflow; controls meet 44px target","PASS — no horizontal overflow; controls meet 44px target",PASS,"Screenshots al30us, tgkfkk","Competitors visual consistency passed."
/admin/personel,Personnel,"Staff list had uneven action treatment and undersized controls","Inconsistent row spacing/action affordances and touch-target sizing","Standardized staff list actions, spacing, and 44px controls","Create/edit, delete with confirmation, active toggle","Shared admin form spacing and 44px controls","PASS — no horizontal overflow; controls meet 44px target","PASS — no horizontal overflow; controls meet 44px target",PASS,"Screenshots 725yvr, s73h08","Personnel visual consistency passed."
/admin/menu,Menu,"Empty list state did not provide a usable populated-row comparison","Dataset was empty, so row actions could not be exercised; empty-state treatment required verification","Verified empty-state presentation and navigation API response; no row-action redesign was possible without data","Empty-state only; row actions not exercisable with empty dataset","Empty-state layout verified; no populated form exercised","PASS — empty state available","PASS — empty state available",PASS,"Screenshots fnycp5, u0cfo5; GET /admin/api/nav 200 with items=[]","Row actions not exercisable because the dataset is empty."
/admin/kategoriler,Categories,"Category list needed consistent ordering/action treatment","Action spacing and list controls required alignment with the shared admin baseline","Standardized up/down reorder, inline multilingual rename, service-count-guarded delete, active toggle, and 44px controls","Up/down reorder, inline rename, guarded delete, active toggle","Shared admin form spacing and 44px controls","PASS — 44px controls; no overflow; order restored","PASS — 44px controls; no overflow; order restored",PASS,"Screenshots ngl3gi, yw8vto","Categories visual and interaction baseline passed."
/admin/diller,Languages,"Existing screen already matched the shared visual baseline","No baseline-breaking visual issues found","No redesign applied","Language create/edit and supported active controls","Already meets shared admin form standard","PASS — baseline met","PASS — baseline met",PASS,"Reviewed screen; no change evidence required","Reviewed but no redesign: already met the visual baseline."
/admin/chatbot-bilgi-bankasi,Chatbot Knowledge Base,"Existing screen already matched the shared visual baseline","No baseline-breaking visual issues found","No redesign applied","Create/edit, active toggle, confirmed delete","Already meets shared admin form standard","PASS — baseline met","PASS — baseline met",PASS,"Reviewed screen; no change evidence required","Reviewed but no redesign: already met the visual baseline."
/admin/ek-hizmetler,Additional Services,"Existing screen already matched the shared visual baseline","No baseline-breaking visual issues found","No redesign applied","Reorder, edit, archive/delete, active toggle, archived filter","Already meets shared admin form standard","PASS — baseline met","PASS — baseline met",PASS,"Reviewed screen; no change evidence required","Reviewed but no redesign: already met the visual baseline."
/admin/fiyat-kurallari,Price Rules,"Existing screen already matched the shared visual baseline","No baseline-breaking visual issues found","No redesign applied","Rule create/edit and rule-specific actions","Already meets shared admin form standard","PASS — baseline met","PASS — baseline met",PASS,"Reviewed screen; no change evidence required","Reviewed but no redesign: already met the visual baseline."
/admin/yol-gecis-ucretleri,Toll and Crossing Fees,"Existing screen already matched the shared visual baseline","No baseline-breaking visual issues found","No redesign applied","Point reorder, edit, and point-specific active/delete controls","Already meets shared admin form standard","PASS — baseline met","PASS — baseline met",PASS,"Reviewed screen; no change evidence required","Reviewed but no redesign: already met the visual baseline."
